iter	RMSE
0	54.61240093
1	48.38875741
2	43.05902443
3	38.35669342
4	34.48078859
5	31.01705051
6	28.08443292
7	25.47126423
8	23.24852223
9	21.42919257
10	19.7876701
11	18.44988661
12	17.28917003
13	16.28006574
14	15.43945438
15	14.71083891
16	14.0913608
17	13.55309039
18	13.06137988
19	12.69422329
20	12.29047034
21	11.8855296
22	11.56958639
23	11.26013303
24	11.01504659
25	10.8166533
26	10.63177939
27	10.44261418
28	10.2425024
29	10.13025034
30	9.954659654
31	9.847207951
32	9.682608627
33	9.56191261
34	9.419377695
35	9.32321228
36	9.23946222
37	9.171004581
38	9.080679572
39	9.02513224
40	8.97331862
41	8.8946795
42	8.843208607
43	8.781696028
44	8.734356814
45	8.650680665
46	8.592882972
47	8.490615257
48	8.442232441
49	8.400965398
50	8.335962753
51	8.256472
52	8.190539033
53	8.139802732
54	8.080698607
55	8.018699004
56	8.000022055
57	7.962711781
58	7.925534441
59	7.878108529
60	7.83156495
61	7.811034168
62	7.773022755
63	7.734232241
64	7.634295102
65	7.602795668
66	7.562678705
67	7.544475103
68	7.518174096
69	7.490949291
70	7.445275887
71	7.324201943
72	7.288350084
73	7.250806061
74	7.175852646
75	7.135001744
76	7.088042163
77	7.054564431
78	7.004181268
79	6.986091555
80	6.945022912
81	6.897872439
82	6.886001147
83	6.848630809
84	6.828631791
85	6.800846053
86	6.784731906
87	6.744178666
88	6.692845192
89	6.678610704
90	6.643624048
91	6.630507175
92	6.61355009
93	6.572798249
94	6.535793366
95	6.510540785
96	6.474048781
97	6.415542512
98	6.387165569
99	6.356260284
100	6.29919201
101	6.272034808
102	6.2518797
103	6.224556942
104	6.199122571
105	6.174437242
106	6.161383009
107	6.140521079
108	6.11309775
109	6.087074491
110	6.07201196
111	6.050478009
112	6.000255513
113	5.979342964
114	5.96752888
115	5.945821439
116	5.936337252
117	5.924264202
118	5.90341518
119	5.883832352
120	5.865737887
121	5.846638954
122	5.8371798
123	5.816513181
124	5.805193635
125	5.770356766
126	5.758849388
127	5.743129857
128	5.725295871
129	5.707783826
130	5.693027646
131	5.678704164
132	5.668978224
133	5.652252573
134	5.630668996
135	5.612864546
136	5.601807244
137	5.583427306
138	5.564966339
139	5.555782109
140	5.538769475
141	5.528679075
142	5.517935845
143	5.508235307
144	5.493357692
