iter	Passed	Remaining
0	9	8166
1	17	7849
2	25	7490
3	32	7382
4	40	7180
5	47	7144
6	56	7250
7	64	7163
8	69	6920
9	75	6698
10	80	6517
11	85	6338
12	92	6297
13	97	6178
14	101	5991
15	105	5834
16	109	5661
17	112	5510
18	116	5401
19	120	5292
20	124	5205
21	127	5105
22	131	5027
23	136	4969
24	139	4898
25	143	4827
26	147	4763
27	151	4704
28	154	4645
29	157	4581
30	161	4528
31	164	4463
32	168	4415
33	171	4379
34	175	4344
35	179	4309
36	183	4281
37	187	4243
38	190	4201
39	193	4164
40	196	4116
41	199	4081
42	203	4054
43	206	4023
44	210	4001
45	214	3976
46	217	3952
47	221	3929
48	224	3907
49	228	3881
50	231	3856
51	235	3837
52	238	3813
53	242	3795
54	245	3776
55	249	3756
56	252	3733
57	255	3714
58	259	3696
59	262	3676
60	266	3663
61	269	3644
62	272	3623
63	275	3598
64	279	3585
65	282	3570
66	287	3569
67	291	3561
68	294	3544
69	297	3529
70	301	3516
71	305	3507
72	308	3494
73	311	3476
74	314	3464
75	318	3450
76	321	3438
77	325	3425
78	328	3413
79	331	3397
80	334	3383
81	337	3371
82	340	3356
83	344	3346
84	347	3334
85	351	3325
86	354	3315
87	358	3308
88	362	3300
89	365	3288
90	369	3282
91	372	3271
92	375	3259
93	380	3258
94	384	3261
95	388	3253
96	392	3249
97	395	3239
98	400	3236
99	403	3227
100	407	3221
101	410	3212
102	414	3205
103	417	3197
104	421	3190
105	424	3181
106	427	3168
107	431	3161
108	434	3155
109	438	3149
110	442	3143
111	445	3135
112	449	3129
113	452	3121
114	456	3113
115	459	3106
116	462	3098
117	466	3089
118	469	3083
119	474	3081
120	477	3074
121	481	3069
122	484	3062
123	488	3055
124	491	3048
125	495	3046
126	499	3039
127	503	3033
128	507	3031
129	511	3028
130	515	3024
131	518	3018
132	522	3011
133	525	3006
134	529	3002
135	533	2995
136	537	2992
137	540	2986
138	544	2981
139	547	2972
140	551	2967
141	554	2960
142	558	2954
143	561	2947
144	564	2940
145	568	2935
146	572	2934
147	576	2930
148	579	2923
149	583	2918
150	587	2913
151	590	2907
152	594	2901
153	597	2895
154	601	2890
155	604	2884
156	608	2879
157	611	2873
158	615	2868
159	619	2866
160	624	2865
161	628	2862
162	631	2857
163	635	2850
164	638	2844
165	642	2839
166	645	2834
167	649	2829
168	653	2826
169	657	2822
170	660	2817
171	664	2811
172	667	2806
173	671	2801
174	674	2795
175	678	2789
176	685	2798
177	688	2793
178	691	2786
179	695	2780
180	698	2776
181	702	2770
182	705	2763
183	708	2757
184	712	2753
185	715	2748
186	719	2743
187	722	2737
188	726	2732
189	730	2728
190	733	2724
191	738	2721
192	741	2716
193	744	2710
194	748	2706
195	752	2701
196	755	2696
197	759	2692
198	763	2689
199	767	2686
200	770	2680
201	774	2675
202	777	2668
203	780	2661
204	783	2655
205	786	2648
206	789	2643
207	792	2638
208	796	2633
209	799	2628
210	802	2621
211	806	2617
212	809	2611
213	813	2607
214	817	2604
215	821	2600
216	824	2596
217	828	2591
218	832	2587
219	835	2581
220	838	2577
221	842	2574
222	847	2572
223	851	2568
224	854	2563
225	857	2558
226	861	2554
227	865	2550
228	868	2546
229	872	2541
230	876	2537
231	879	2533
232	882	2526
233	885	2520
234	889	2517
235	893	2512
236	896	2508
237	900	2503
238	904	2500
239	907	2495
240	910	2490
241	913	2484
242	917	2480
243	920	2475
244	924	2471
245	928	2467
246	932	2464
247	936	2461
248	939	2454
249	943	2452
250	947	2448
251	950	2444
252	954	2440
253	957	2435
254	961	2433
255	964	2427
256	968	2423
257	972	2419
258	976	2416
259	979	2411
260	982	2406
261	986	2402
262	989	2397
263	992	2391
264	996	2387
265	999	2383
266	1003	2378
267	1006	2374
268	1010	2369
269	1013	2364
270	1016	2360
271	1020	2355
272	1023	2350
273	1026	2346
274	1030	2341
275	1033	2336
276	1036	2331
277	1040	2327
278	1043	2322
279	1046	2317
280	1050	2313
281	1053	2309
282	1057	2305
283	1060	2300
284	1063	2294
285	1066	2289
286	1070	2286
287	1074	2282
288	1077	2278
289	1081	2273
290	1084	2269
291	1087	2264
292	1090	2259
293	1094	2255
294	1097	2251
295	1101	2248
296	1104	2243
297	1108	2239
298	1111	2234
299	1115	2230
300	1119	2226
301	1122	2222
302	1126	2218
303	1129	2214
304	1132	2209
305	1136	2206
306	1139	2201
307	1143	2197
308	1147	2194
309	1151	2190
310	1154	2186
311	1157	2181
312	1161	2177
313	1164	2173
314	1168	2170
315	1171	2165
316	1175	2161
317	1179	2157
318	1182	2153
